sex,age_cat,race,c_charge_degree,age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,two_year_recid
Male,25 - 45,Caucasian,M,29,0,0,0,0,0
Female,Less than 25,African-American,F,21,2,0,0,0,0
Male,Greater than 45,African-American,M,51,2,0,0,0,0
Male,25 - 45,Caucasian,M,29,2,0,0,0,1
Female,Greater than 45,African-American,F,51,7,0,0,0,0
Male,25 - 45,African-American,F,29,0,0,0,0,1
Male,25 - 45,Caucasian,M,25,9,0,0,0,1
Male,25 - 45,African-American,F,35,13,1,0,4,1
Male,Greater than 45,Caucasian,M,49,0,0,0,0,0
Male,25 - 45,African-American,M,34,4,0,0,0,1
Male,25 - 45,African-American,F,29,0,0,0,0,0
Male,25 - 45,Caucasian,F,29,1,0,0,0,1
Female,25 - 45,Other,F,28,0,0,0,0,0
Male,Greater than 45,Caucasian,F,48,20,0,0,0,1
Female,Greater than 45,Hispanic,F,63,1,0,0,0,0
Male,25 - 45,African-American,F,31,15,0,0,1,0
Male,Less than 25,African-American,F,24,2,0,0,0,1
Male,25 - 45,Hispanic,M,30,0,0,0,0,0
Male,Greater than 45,African-American,M,49,4,0,0,0,0
Male,Greater than 45,Caucasian,F,53,8,0,0,0,0
Male,25 - 45,African-American,F,35,5,0,0,0,0
Male,Greater than 45,African-American,M,63,10,0,0,0,1
Male,25 - 45,African-American,F,27,15,1,1,2,1
Male,25 - 45,Caucasian,M,38,4,0,0,0,1
Male,Less than 25,African-American,F,22,1,0,0,1,1
Male,Less than 25,African-American,F,22,2,0,1,2,1
Male,25 - 45,African-American,F,29,4,0,0,0,1
Male,Greater than 45,Hispanic,M,62,0,0,0,0,0
Male,25 - 45,African-American,F,27,6,0,1,0,1
Male,25 - 45,Other,M,33,0,0,0,0,0
Female,Greater than 45,African-American,M,56,0,0,0,0,0
Male,Greater than 45,Hispanic,F,45,6,0,0,0,1
Male,Less than 25,Hispanic,F,22,1,0,0,0,0
Male,25 - 45,African-American,M,39,1,0,0,0,0
Male,25 - 45,African-American,F,29,5,0,0,0,1
Male,25 - 45,Caucasian,F,27,1,0,0,1,1
Male,25 - 45,African-American,F,40,2,0,0,0,0
Male,Less than 25,African-American,M,22,1,0,0,0,1
Male,Less than 25,Caucasian,F,22,0,0,0,0,0
Female,25 - 45,African-American,F,26,1,0,0,0,1
Male,25 - 45,Caucasian,F,27,1,0,0,0,1
Male,25 - 45,African-American,F,32,0,0,0,0,0
Male,25 - 45,African-American,M,41,1,0,0,0,0
Male,25 - 45,African-American,M,30,8,0,0,0,1
Male,Greater than 45,Other,F,50,0,0,0,0,1
Male,25 - 45,African-American,F,25,14,1,6,1,1
Male,Less than 25,Other,F,20,0,0,0,0,1
Male,Less than 25,African-American,F,22,2,1,0,0,1
Male,Less than 25,African-American,M,23,2,0,0,1,1
Female,25 - 45,African-American,M,35,1,0,0,0,0
Male,25 - 45,African-American,F,36,9,0,0,0,1
Male,25 - 45,Caucasian,F,26,7,0,0,0,1
Male,Less than 25,Other,F,21,1,0,0,0,1
Male,25 - 45,Caucasian,F,25,9,0,0,0,1
Male,Greater than 45,African-American,M,71,12,0,0,0,0
Female,Less than 25,Caucasian,F,20,0,0,0,0,0
Male,25 - 45,Caucasian,F,39,2,0,0,0,1
Male,Greater than 45,Caucasian,F,66,3,0,0,0,0
Female,Greater than 45,Caucasian,M,54,0,0,0,0,0
Female,25 - 45,Hispanic,M,44,0,0,0,0,0
Male,Less than 25,African-American,M,19,1,0,0,0,1
Male,Less than 25,African-American,F,24,1,0,0,0,0
Male,25 - 45,African-American,F,30,1,0,0,0,0
Female,25 - 45,Caucasian,F,39,0,0,0,0,1
Male,Less than 25,Caucasian,F,24,8,0,1,2,1
Male,25 - 45,Caucasian,F,30,0,0,0,0,0
Male,25 - 45,Caucasian,M,31,0,0,0,0,0
Female,25 - 45,Caucasian,F,39,1,0,0,0,0
Male,Greater than 45,African-American,F,59,14,0,0,0,1
Male,25 - 45,Caucasian,F,43,1,0,0,0,0
Male,Less than 25,African-American,F,21,3,0,0,0,1
Male,25 - 45,Caucasian,M,38,5,0,0,0,1
Male,25 - 45,Caucasian,F,34,0,0,0,0,0
Male,25 - 45,African-American,F,33,5,0,0,0,1
Male,25 - 45,African-American,F,37,3,0,0,0,0
Male,25 - 45,Caucasian,F,42,1,0,0,0,1
Male,25 - 45,African-American,F,41,10,0,1,0,1
Male,Less than 25,African-American,F,22,0,0,0,0,1
Male,25 - 45,African-American,F,33,28,0,12,2,1
Male,25 - 45,African-American,M,31,1,0,0,0,0
Female,25 - 45,Other,F,30,1,0,0,0,0
Male,25 - 45,Caucasian,F,31,13,0,0,0,1
Male,25 - 45,African-American,F,27,3,0,0,0,1
Male,Greater than 45,African-American,F,56,8,0,0,0,0
Male,Greater than 45,Caucasian,M,52,3,0,0,0,0
Male,25 - 45,African-American,F,33,19,0,0,0,1
Female,Greater than 45,Caucasian,M,64,2,0,0,0,0
Male,Less than 25,Caucasian,F,22,4,0,0,0,1
Male,25 - 45,Caucasian,F,42,6,0,0,0,0
Female,25 - 45,Caucasian,F,25,2,0,0,0,0
Male,25 - 45,Caucasian,M,30,1,0,0,0,0
Male,25 - 45,Caucasian,F,28,2,0,0,0,0
Female,25 - 45,Other,M,37,2,0,0,0,0
Male,25 - 45,Caucasian,M,28,0,0,0,0,1
Female,Less than 25,African-American,M,24,0,0,0,0,0
Female,25 - 45,Caucasian,F,29,10,0,1,0,1
Male,25 - 45,Caucasian,M,44,2,0,0,0,1
Female,25 - 45,Hispanic,F,30,4,0,0,0,1
Male,25 - 45,African-American,F,32,3,0,0,0,1
Male,25 - 45,Caucasian,M,31,2,0,0,0,1
Male,25 - 45,African-American,M,31,1,0,0,0,0
Male,Greater than 45,Caucasian,F,59,1,0,0,0,1
Female,Greater than 45,Caucasian,F,45,4,0,0,0,0
Female,Less than 25,African-American,F,20,1,1,0,0,0
Female,25 - 45,Caucasian,M,43,0,0,0,0,0
Male,25 - 45,African-American,F,38,9,1,1,0,1
Male,25 - 45,African-American,F,32,11,0,0,0,1
Male,25 - 45,African-American,M,33,8,0,0,0,1
Female,25 - 45,African-American,F,31,0,0,0,0,1
Female,25 - 45,African-American,F,33,7,0,0,0,1
Male,25 - 45,African-American,F,27,2,0,0,0,1
Female,Less than 25,African-American,F,20,0,0,0,0,0
Female,25 - 45,Caucasian,M,26,0,0,0,0,0
Female,Greater than 45,African-American,F,61,1,0,0,0,1
Male,Greater than 45,Other,F,52,13,0,0,0,1
Male,Greater than 45,Hispanic,F,63,1,0,0,0,0
Female,25 - 45,African-American,F,32,4,0,0,0,1
Male,25 - 45,Hispanic,F,29,1,0,0,0,0
Female,Greater than 45,Other,F,46,1,0,0,0,0
Female,25 - 45,African-American,M,26,2,0,0,0,1
Male,Greater than 45,African-American,M,55,3,0,0,0,0
Male,25 - 45,Caucasian,M,39,1,1,0,0,0
Female,25 - 45,Caucasian,F,30,3,0,0,0,1
Male,25 - 45,African-American,F,30,1,0,0,0,0
Male,Greater than 45,Caucasian,M,48,2,0,0,0,0
Male,Less than 25,African-American,F,22,1,0,0,0,0
Male,Greater than 45,Caucasian,F,46,6,0,0,0,1
Female,Greater than 45,Caucasian,F,49,6,0,0,0,0
Male,25 - 45,Caucasian,F,31,0,0,0,0,0
Male,25 - 45,African-American,M,25,1,0,0,0,1
Male,Less than 25,Hispanic,F,23,0,0,0,0,0
Female,25 - 45,African-American,F,32,5,0,0,0,0
Male,Greater than 45,Hispanic,M,52,2,0,0,0,0
Male,Greater than 45,African-American,F,62,8,0,0,0,0
Female,25 - 45,Caucasian,F,37,6,0,0,0,0
Male,Greater than 45,Caucasian,F,55,1,0,0,0,0
Male,25 - 45,Hispanic,F,31,8,0,0,0,1
Male,25 - 45,African-American,M,28,6,0,0,0,1
Male,Greater than 45,Hispanic,F,54,2,0,0,0,0
Male,Greater than 45,Hispanic,F,58,0,0,0,0,0
Male,Greater than 45,Caucasian,M,78,1,0,0,0,1
Male,Greater than 45,Caucasian,F,56,0,0,0,0,0
Male,Less than 25,Other,F,24,0,0,0,0,0
Male,25 - 45,African-American,F,38,22,2,2,1,1
Male,Less than 25,African-American,F,22,1,0,0,0,1
Male,Greater than 45,African-American,M,47,23,0,0,0,1
Male,Less than 25,African-American,M,23,0,0,0,0,1
Male,Greater than 45,Hispanic,F,57,1,0,0,0,0
Female,25 - 45,Caucasian,F,38,2,0,0,0,1
Male,Greater than 45,African-American,F,66,3,0,0,0,0
Male,Greater than 45,Caucasian,M,45,8,0,0,0,1
Female,Greater than 45,Other,M,52,0,0,0,0,1
Male,25 - 45,African-American,F,32,13,0,0,0,1
Male,25 - 45,African-American,M,37,2,0,0,0,1
Male,25 - 45,Caucasian,F,39,0,0,0,0,1
Male,25 - 45,African-American,F,26,9,0,0,0,1
Male,Greater than 45,Caucasian,F,45,2,0,0,0,0
Male,Less than 25,African-American,F,23,0,0,0,0,1
Male,25 - 45,African-American,M,34,2,0,0,0,0
Female,Less than 25,African-American,M,23,1,0,0,0,0
Male,25 - 45,Other,M,36,2,0,0,0,1
Male,Greater than 45,Caucasian,F,50,1,0,0,0,0
Female,25 - 45,Caucasian,M,37,0,0,0,0,0
Male,25 - 45,Caucasian,M,44,4,0,0,0,0
Female,25 - 45,African-American,F,35,23,0,1,0,1
Male,Less than 25,Other,F,24,5,0,0,0,1
Male,25 - 45,African-American,F,26,2,0,0,0,1
Male,25 - 45,African-American,M,27,0,0,0,0,0
Female,25 - 45,African-American,F,28,0,0,0,0,0
Male,25 - 45,Caucasian,F,43,11,0,0,0,1
Female,25 - 45,Caucasian,F,28,7,0,0,0,1
Male,25 - 45,African-American,F,38,2,0,0,0,0
Male,25 - 45,Caucasian,M,27,2,0,0,0,0
Female,25 - 45,African-American,F,28,1,0,0,0,0
Male,Greater than 45,Caucasian,F,56,7,0,0,0,1
Male,25 - 45,African-American,F,38,15,0,0,0,0
Male,25 - 45,African-American,M,28,2,0,0,0,0
Male,Greater than 45,African-American,F,45,3,0,0,0,0
Male,25 - 45,Hispanic,M,28,0,0,0,0,0
Male,Greater than 45,Caucasian,F,61,1,0,0,0,0
Female,Greater than 45,Caucasian,M,51,0,0,0,0,1
Male,Greater than 45,Caucasian,M,51,0,0,0,0,0
Male,25 - 45,Other,M,36,1,0,0,0,1
Male,Greater than 45,African-American,F,48,0,0,0,0,0
Male,25 - 45,Caucasian,F,37,4,0,0,0,1
Female,25 - 45,African-American,F,30,2,0,0,0,0
Female,25 - 45,African-American,M,41,5,0,0,0,0
Male,25 - 45,African-American,F,27,11,0,0,0,1
Male,25 - 45,African-American,M,37,0,0,0,0,0
Male,25 - 45,Other,F,33,4,0,0,0,1
Male,Greater than 45,African-American,F,54,11,0,0,0,0
Male,Less than 25,African-American,F,23,2,0,0,0,0
Female,25 - 45,African-American,F,26,2,0,0,0,1
Male,25 - 45,African-American,M,41,0,0,0,0,0
Male,Greater than 45,Caucasian,F,52,0,0,0,0,0
Male,25 - 45,Caucasian,F,43,13,0,0,0,1
Male,Greater than 45,African-American,F,52,0,0,0,0,0
Male,25 - 45,Caucasian,F,28,1,0,0,0,0
Male,25 - 45,African-American,M,30,11,0,0,2,1
Male,25 - 45,Caucasian,F,28,1,0,0,0,0
Male,Less than 25,African-American,F,22,0,0,0,0,0
Male,25 - 45,African-American,F,30,4,0,0,0,0
Male,25 - 45,Hispanic,F,25,4,0,0,0,0
Male,25 - 45,Caucasian,F,31,0,0,0,0,1
Male,25 - 45,Caucasian,F,37,0,0,0,0,1
Male,25 - 45,African-American,F,32,14,0,1,0,0
Male,25 - 45,African-American,M,26,4,0,1,0,0
Male,Greater than 45,Caucasian,M,53,1,0,0,0,0
Male,25 - 45,African-American,F,28,25,0,0,0,1
Male,25 - 45,Caucasian,M,44,8,0,0,0,1
Male,25 - 45,African-American,F,25,0,0,0,0,0
Male,Less than 25,Caucasian,M,22,1,0,0,1,1
Female,25 - 45,Other,M,37,0,0,0,0,0
Female,25 - 45,Other,F,40,3,0,0,0,0
Male,25 - 45,Caucasian,F,36,8,0,0,0,1
Male,25 - 45,Caucasian,F,30,4,0,0,0,0
Male,Less than 25,African-American,M,22,3,0,0,0,1
Female,Less than 25,Caucasian,M,24,1,0,0,0,1
Male,25 - 45,African-American,M,27,3,0,0,0,1
Female,25 - 45,Hispanic,M,31,0,0,0,0,0
Male,Less than 25,Hispanic,F,23,1,0,0,1,1
Female,Less than 25,Caucasian,F,23,5,0,0,4,1
Male,Less than 25,Hispanic,M,24,0,0,0,0,0
Male,25 - 45,African-American,M,29,1,0,0,0,0
Male,Less than 25,African-American,F,20,1,0,0,0,1
Male,25 - 45,African-American,F,30,2,0,0,0,1
Male,25 - 45,Other,F,39,0,0,0,0,0
Male,25 - 45,African-American,F,27,4,0,0,0,0
Male,25 - 45,Caucasian,M,31,2,0,0,0,0
Female,25 - 45,African-American,F,37,2,0,0,0,0
Male,Less than 25,African-American,F,20,0,0,0,0,0
Male,Less than 25,Hispanic,F,22,0,0,0,1,0
Female,Greater than 45,African-American,F,52,0,0,0,0,0
Female,Less than 25,African-American,F,23,0,0,0,0,1
Female,Greater than 45,African-American,F,48,0,0,0,0,0
Male,Greater than 45,African-American,F,66,8,0,0,0,1
Male,25 - 45,Caucasian,F,25,0,0,0,0,0
Male,25 - 45,Caucasian,F,27,0,0,0,0,1
Male,25 - 45,African-American,F,30,11,0,0,0,1
Male,Less than 25,African-American,M,22,3,0,1,1,1
Female,Less than 25,Caucasian,F,22,1,0,0,0,0
Male,25 - 45,African-American,F,35,2,0,0,0,0
Male,25 - 45,Caucasian,F,32,2,0,0,0,0
Female,25 - 45,African-American,M,41,2,0,0,0,0
Female,25 - 45,Other,F,25,0,0,0,0,0
Male,25 - 45,African-American,M,44,24,0,0,0,0
Male,Greater than 45,African-American,F,52,3,0,0,0,1
Male,25 - 45,African-American,F,43,0,0,0,0,0
Male,25 - 45,Caucasian,F,37,3,0,0,0,0
Male,25 - 45,African-American,M,28,3,0,0,0,1
Male,Greater than 45,Caucasian,M,70,1,0,0,0,0
Male,Greater than 45,Caucasian,F,54,6,0,0,0,1
Male,Greater than 45,Caucasian,F,46,3,0,0,0,0
Male,Less than 25,African-American,M,21,0,0,0,0,1
Male,25 - 45,African-American,M,26,1,0,0,0,1
Male,25 - 45,Hispanic,F,38,3,0,0,0,1
Male,25 - 45,Caucasian,M,34,5,0,0,0,0
Male,Less than 25,African-American,F,19,1,0,0,0,1
Male,25 - 45,African-American,M,34,5,0,0,0,0
Male,Less than 25,Caucasian,F,23,0,0,0,0,1
Male,25 - 45,African-American,F,34,5,0,0,0,1
Male,25 - 45,African-American,F,30,2,0,0,0,0
Male,25 - 45,African-American,F,39,6,0,0,0,1
Male,Less than 25,Other,F,24,0,0,0,0,0
Male,25 - 45,Caucasian,M,33,1,0,0,0,1
Male,Greater than 45,Caucasian,F,58,2,0,0,0,0
Female,Less than 25,African-American,M,21,0,0,0,0,0
Male,Less than 25,African-American,F,21,1,0,0,0,0
Male,Less than 25,African-American,M,23,4,0,0,1,1
Male,Greater than 45,Caucasian,F,62,0,0,0,0,0
Male,25 - 45,African-American,M,27,4,1,0,1,1
Male,25 - 45,Caucasian,F,37,5,0,0,0,0
Male,25 - 45,Other,F,43,2,0,0,0,1
Female,25 - 45,African-American,F,32,5,0,0,0,0
Male,Less than 25,Hispanic,F,23,0,0,0,0,0
Male,25 - 45,African-American,M,27,0,0,0,0,0
Male,25 - 45,Caucasian,M,44,0,0,0,0,1
Male,25 - 45,Caucasian,M,28,3,0,0,0,1
Female,25 - 45,Caucasian,F,42,0,0,0,0,0
Male,Less than 25,Other,F,24,9,0,1,0,1
Male,25 - 45,African-American,F,27,0,0,0,0,0
Male,Less than 25,African-American,F,20,0,0,0,0,1
Female,Greater than 45,Caucasian,M,51,0,0,0,0,0
Male,Greater than 45,Caucasian,M,56,0,0,0,0,0
Male,25 - 45,African-American,F,29,7,0,0,0,0
Male,Less than 25,African-American,F,20,0,0,0,0,1
Male,Greater than 45,Caucasian,F,53,6,0,0,0,0
Male,25 - 45,Caucasian,F,27,8,0,0,0,0
Male,Less than 25,African-American,F,24,2,0,1,0,1
Male,Greater than 45,Caucasian,F,53,36,0,0,0,1
Male,25 - 45,Caucasian,M,28,2,0,0,0,1
Male,Greater than 45,African-American,F,45,1,0,0,0,0
Male,Less than 25,Hispanic,F,21,3,0,1,0,0
Female,25 - 45,African-American,F,36,0,0,0,0,0
Female,25 - 45,Caucasian,M,25,2,0,0,0,1
Female,Less than 25,Hispanic,M,23,1,0,0,0,0
Male,25 - 45,Caucasian,F,28,1,0,0,0,0
Female,Less than 25,African-American,F,21,0,0,0,0,1
Male,25 - 45,Caucasian,M,36,0,0,0,0,0
Male,Less than 25,African-American,F,24,0,0,0,0,0
Male,25 - 45,African-American,F,28,3,0,0,0,1
Male,25 - 45,Other,F,30,1,0,0,0,1
Male,25 - 45,African-American,F,29,0,0,0,0,0
Female,25 - 45,Caucasian,M,30,0,0,0,0,0
Male,Greater than 45,Hispanic,M,51,1,0,0,0,0
Male,25 - 45,Other,F,33,3,0,0,0,0
Female,25 - 45,African-American,F,25,2,0,0,0,0
Male,25 - 45,African-American,F,32,12,0,1,0,1
Male,Less than 25,African-American,F,23,1,0,0,1,0
Male,Greater than 45,African-American,F,47,3,0,0,0,0
Female,25 - 45,Hispanic,F,32,1,0,0,0,1
Male,25 - 45,Caucasian,F,37,0,0,0,0,0
Male,Less than 25,African-American,F,19,2,0,2,0,1
Male,25 - 45,Hispanic,M,27,0,0,0,0,0
Male,25 - 45,Other,M,39,0,0,0,0,0
Female,Less than 25,Caucasian,F,21,0,0,0,2,0
Male,Greater than 45,Caucasian,M,69,0,0,0,0,0
Male,Less than 25,Caucasian,F,21,2,0,0,0,0
Male,25 - 45,African-American,M,26,6,0,0,1,1
Male,Less than 25,Caucasian,F,22,0,0,0,0,0
Female,Less than 25,African-American,F,23,0,0,0,0,1
Male,Greater than 45,African-American,F,49,3,0,0,0,0
Male,25 - 45,African-American,M,29,2,0,0,1,0
Female,Greater than 45,Caucasian,M,60,0,0,0,0,0
Female,25 - 45,African-American,M,26,0,0,0,0,0
Male,Less than 25,African-American,F,23,3,2,0,0,1
Male,25 - 45,Hispanic,M,34,2,0,0,0,1
Female,Less than 25,Other,F,20,1,1,0,0,0
Male,25 - 45,Hispanic,F,36,1,0,0,0,0
Male,25 - 45,Caucasian,F,30,0,0,0,0,0
Male,Less than 25,African-American,F,21,1,0,1,0,0
Male,Less than 25,Caucasian,M,22,2,0,0,0,1
Male,Greater than 45,African-American,F,57,18,0,0,0,0
Male,Less than 25,African-American,F,21,4,0,0,0,1
Male,Less than 25,African-American,F,21,0,0,0,0,1
Male,25 - 45,Caucasian,M,34,1,0,0,0,0
Female,Greater than 45,Caucasian,M,50,1,0,0,0,1
Male,25 - 45,Caucasian,F,40,0,0,0,0,1
Male,25 - 45,African-American,F,25,7,0,0,0,1
Female,Greater than 45,Caucasian,M,53,1,0,0,0,0
Female,Less than 25,African-American,F,24,0,0,0,0,0
Male,25 - 45,African-American,F,42,1,0,0,0,0
Male,25 - 45,African-American,M,28,1,0,0,0,0
Male,Less than 25,Caucasian,M,24,1,0,0,0,0
Male,25 - 45,African-American,F,26,6,1,1,0,1
Male,Less than 25,African-American,F,22,4,0,0,0,1
Male,Less than 25,Caucasian,M,21,3,0,0,0,0
Male,25 - 45,African-American,F,37,23,0,0,0,1
Male,25 - 45,African-American,F,35,2,0,0,0,0
Male,Greater than 45,African-American,F,53,2,0,0,0,0
Male,Greater than 45,African-American,F,60,1,0,0,0,0
Male,25 - 45,African-American,F,29,7,0,0,0,0
Male,Greater than 45,Caucasian,F,48,23,1,0,0,1
Female,Greater than 45,Caucasian,M,52,0,0,0,0,0
Male,25 - 45,African-American,F,27,12,0,0,0,1
Male,25 - 45,African-American,F,28,5,0,0,0,0
Male,25 - 45,Caucasian,M,33,3,0,0,0,0
Female,25 - 45,Hispanic,F,28,0,0,0,0,0
Male,Greater than 45,Caucasian,F,47,5,0,0,0,1
Male,25 - 45,African-American,F,36,14,0,0,0,1
Male,25 - 45,African-American,F,29,2,1,0,0,0
Male,Less than 25,African-American,M,22,0,0,0,1,1
Male,25 - 45,African-American,F,26,6,0,0,2,0
Male,25 - 45,Caucasian,F,25,0,0,0,0,0
Male,Greater than 45,Caucasian,F,68,2,0,0,0,0
Male,Greater than 45,African-American,F,56,5,0,0,0,0
Male,25 - 45,African-American,F,27,9,0,0,0,1
Male,Greater than 45,Caucasian,F,52,4,0,0,0,1
Male,25 - 45,African-American,F,32,3,0,0,0,0
Male,Greater than 45,Other,F,60,4,0,0,0,0
Male,Less than 25,Hispanic,M,23,1,0,0,0,0
Female,25 - 45,Caucasian,M,39,0,0,0,0,0
Male,Greater than 45,Caucasian,M,56,0,0,0,0,0
Female,Less than 25,African-American,F,22,0,0,0,0,0
Female,25 - 45,African-American,F,27,1,0,0,0,1
Male,Greater than 45,African-American,F,53,11,0,0,0,0
Male,25 - 45,Caucasian,M,25,0,0,0,0,1
Male,Less than 25,Hispanic,M,21,0,0,0,0,0
Male,Less than 25,Caucasian,F,22,0,0,0,0,0
Female,Greater than 45,Caucasian,M,58,2,0,0,0,0
Male,25 - 45,African-American,M,31,7,0,0,0,1
Male,Less than 25,Caucasian,F,22,1,0,0,0,1
Male,25 - 45,African-American,F,28,8,0,0,0,1
Male,25 - 45,Other,F,42,1,0,0,0,0
Male,Less than 25,African-American,F,20,0,0,0,0,1
Male,25 - 45,Caucasian,M,29,0,0,0,0,1
Male,25 - 45,African-American,F,29,8,0,0,0,0
Male,Greater than 45,African-American,M,58,21,0,0,0,1
Male,Less than 25,African-American,F,22,3,0,0,0,0
Male,Greater than 45,Hispanic,M,48,1,0,0,0,1
Male,25 - 45,Caucasian,F,37,0,0,0,0,0
Male,Greater than 45,African-American,F,57,1,0,0,0,1
Male,25 - 45,Caucasian,M,27,3,0,0,0,0
Male,25 - 45,African-American,F,26,3,0,0,0,0
Male,Less than 25,Caucasian,F,24,3,0,1,1,1
Male,25 - 45,Caucasian,F,33,0,0,0,0,0
Male,25 - 45,African-American,F,29,2,0,0,0,0
Female,Less than 25,African-American,F,24,3,0,0,0,1
Male,Less than 25,Caucasian,F,19,1,0,0,1,1
Male,25 - 45,Caucasian,M,36,2,0,0,0,0
Female,Less than 25,Caucasian,F,24,0,0,0,0,0
Male,25 - 45,Caucasian,M,34,0,0,0,0,0
Male,25 - 45,Hispanic,F,25,2,0,0,0,1
Male,Less than 25,African-American,F,20,1,1,0,1,1
Male,25 - 45,Hispanic,M,28,2,0,0,0,1
Male,Less than 25,African-American,M,24,1,0,0,0,1
Male,Greater than 45,Caucasian,F,61,4,0,0,0,0
Female,Greater than 45,African-American,F,50,3,0,0,0,0
Male,25 - 45,African-American,M,30,1,0,0,0,0
Male,25 - 45,African-American,F,38,5,0,0,0,0
Male,Less than 25,Caucasian,M,24,0,0,0,0,0
Male,Greater than 45,African-American,F,45,16,0,0,0,0
Female,Greater than 45,African-American,F,46,2,0,0,0,1
Male,25 - 45,Caucasian,M,41,0,0,0,0,1
Male,Less than 25,Other,F,20,0,0,0,1,1
Male,25 - 45,African-American,M,27,13,0,0,0,1
Female,Greater than 45,African-American,F,51,16,0,0,0,0
Male,25 - 45,African-American,M,26,1,0,0,0,1
Male,25 - 45,African-American,F,29,3,0,0,0,1
Male,Greater than 45,Caucasian,F,52,6,0,0,0,1
Male,25 - 45,Caucasian,F,28,1,0,0,0,1
Female,25 - 45,Native American,F,34,4,0,0,0,1
Male,Greater than 45,African-American,F,55,5,0,0,0,1
Male,25 - 45,African-American,F,26,10,1,1,0,1
Male,25 - 45,African-American,F,28,5,0,0,0,0
Male,Greater than 45,Caucasian,F,63,2,0,0,0,0
Male,25 - 45,African-American,F,42,0,0,0,0,0
Male,Less than 25,African-American,F,23,6,1,2,2,0
Male,Greater than 45,African-American,F,54,28,0,0,0,1
Male,25 - 45,African-American,F,35,8,0,0,1,1
Female,Less than 25,African-American,F,24,6,1,0,0,1
Male,Greater than 45,African-American,M,54,2,0,0,0,0
Male,Greater than 45,African-American,M,58,12,0,0,0,1
Male,Less than 25,Caucasian,M,23,1,0,0,1,1
Male,25 - 45,African-American,M,35,1,0,0,0,0
Male,Less than 25,African-American,F,20,1,0,0,0,1
Male,Greater than 45,Caucasian,F,51,0,0,0,0,0
Male,Less than 25,Hispanic,F,24,0,0,0,0,0
Male,25 - 45,Caucasian,F,37,3,0,0,0,0
Male,Greater than 45,Caucasian,F,47,3,0,0,0,0
Male,25 - 45,Caucasian,F,34,4,0,0,0,1
Male,Greater than 45,Caucasian,F,56,0,0,0,0,0
Male,25 - 45,Hispanic,F,34,4,0,0,0,1
Male,Greater than 45,Caucasian,F,59,1,0,0,0,1
Male,25 - 45,Asian,F,35,0,0,0,0,0
Male,Greater than 45,Hispanic,F,58,1,0,0,0,0
Male,25 - 45,Hispanic,M,29,2,0,0,0,0
Female,Less than 25,Caucasian,F,24,6,0,0,1,1
Male,Less than 25,Caucasian,M,21,2,0,0,4,1
Male,25 - 45,African-American,M,26,2,0,0,0,0
Male,Greater than 45,Asian,F,50,5,0,0,0,1
Male,25 - 45,African-American,F,26,1,0,0,0,0
Female,25 - 45,Caucasian,M,30,0,0,0,0,0
Male,25 - 45,Caucasian,F,29,6,0,0,0,1
Male,25 - 45,Caucasian,M,29,0,0,0,0,1
Male,Greater than 45,African-American,M,54,0,0,0,0,0
